asset_class_path,asset_count,blueprint_count,generated_class_known,parent_class_known,native_parent_class_known,confirmed_identity_count,open_identity_count
/Game/PrimalEarth/CoreBlueprints/ExplorerChest/ExplorerChest_DinoDossiers.ExplorerChest_DinoDossiers_C,133,0,0,0,0,0,0
/Script/Landscape.LandscapeLayerInfoObject,132,0,0,0,0,0,0
/Script/Engine.LandscapeLayerInfoObject,130,0,0,0,0,0,0
/Game/Art_Tools/Level_Tools/PCG/PCG_Core/Data/PDA_PCG_Biome.PDA_PCG_Biome_C,125,0,0,0,0,0,0
/Game/Genesis/Missions/Race/MissionTrigger_RacePowerUp.MissionTrigger_RacePowerUp_C,122,0,0,0,0,0,0
/Script/Engine.LandscapeMaterialInstanceConstant,120,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Environment/Fracture_Meshes/DestructibleStructures/BPStructure_Steamboat_Willie_Pillar_3.BPStructure_Steamboat_Willie_Pillar_3_C,117,0,0,0,0,0,0
/Game/Art_Tools/Level_Tools/Flowmap/EUA_Flowmap_Spline.EUA_Flowmap_Spline_C,114,0,0,0,0,0,0
/Game/Genesis/Missions/Retrieve/MissionTrigger_Retrieve_Checkpoint.MissionTrigger_Retrieve_Checkpoint_C,108,0,0,0,0,0,0
/Script/Niagara.NiagaraEmitter,106,0,0,0,0,0,0
/Game/Genesis/Environment/Bog/TreeRocks/GiantBranches/Instances/BPP_GiantBranch_C.BPP_GiantBranch_C_C,100,0,0,0,0,0,0
/Script/ShooterGame.SplineActor,99,0,0,0,0,0,0
/Game/Genesis/Missions/Gauntlet/MissionServerSidePoint_GauntletPortalSpawn.MissionServerSidePoint_GauntletPortalSpawn_C,96,0,0,0,0,0,0
/Game/Test/erikh/PCG/Biome_OceanDeep/BP_PCG_OceanDeep_Area.BP_PCG_OceanDeep_Area_C,96,0,0,0,0,0,0
/Game/EndGame/CoreBlueprints/Enviroment/BP_ArkStation_HQ_Ascension.BP_ArkStation_HQ_Ascension_C,94,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/RedwoodAmbientSound_Blueprint_Small.RedwoodAmbientSound_Blueprint_Small_C,94,0,0,0,0,0,0
/Game/Effects/Blueprints/Lava/BP_Lava_River.BP_Lava_River_C,93,0,0,0,0,0,0
/Script/ShooterGame.MissionSpline,93,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/GrasslandAmbientSound_Blueprint.GrasslandAmbientSound_Blueprint_C,90,0,0,0,0,0,0
/Game/Genesis/Environment/Lunar/Rocks/GlowRocks/BP_LunarRock_D.BP_LunarRock_D_C,88,0,0,0,0,0,0
/Script/Engine.AudioVolume,88,0,0,0,0,0,0
/Script/Blutility.EditorUtilityBlueprint,86,86,86,86,86,0,0
/Script/Engine.TextureCube,86,0,0,0,0,0,0
/Script/PCG.PCGGraph,86,0,0,0,0,0,0
/Game/Genesis/Environment/Bog/Vegetation/Trees/LargeFlower/Large_Flowers_BP.Large_Flowers_BP_C,83,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/GrasslandAmbientSound_Blueprint_Small.GrasslandAmbientSound_Blueprint_Small_C,83,0,0,0,0,0,0
/Script/Engine.MaterialParameterCollection,82,0,0,0,0,0,0
/Game/ASA/Blueprints/Water/Phx/BP_WaterPhysics_ASA.BP_WaterPhysics_ASA_C,79,0,0,0,0,0,0
/Script/Engine.PoseAsset,79,0,0,0,0,0,0
/Script/Engine.RectLight,79,0,0,0,0,0,0
/Game/ASA/Environment/TheIsland/MergedMeshes/UnderWater/BPP_Canyon_02.BPP_Canyon_02_C,78,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Environment/Fracture_Meshes/DestructibleStructures/BPStructure_Steamboat_Willie_Dock.BPStructure_Steamboat_Willie_Dock_C,77,0,0,0,0,0,0
/Game/Genesis/Sound/Environment/Volcanic/VolcanoAmbientSound_Blueprint_Small.VolcanoAmbientSound_Blueprint_Small_C,77,0,0,0,0,0,0
/Game/PrimalEarth/Sound/AmbientSoundActors/ForestAmbientSound_Blueprint_Small.ForestAmbientSound_Blueprint_Small_C,77,0,0,0,0,0,0
/Script/CoreUObject.UserDefinedStruct,76,0,0,0,0,0,0
/Game/Genesis/Missions/MissionTrigger_SpawningCheckpoint.MissionTrigger_SpawningCheckpoint_C,74,0,0,0,0,0,0
/Script/Engine.MaterialFunctionMaterialLayerInstance,74,0,0,0,0,0,0
/Game/Genesis/CoreBlueprints/Environment/Hazards/Slides/HazardTrigger_Slide.HazardTrigger_Slide_C,73,0,0,0,0,0,0
/Game/Genesis/Environment/Bog/TreeRocks/GiantBranches/Instances/BPP_GiantBranch_A.BPP_GiantBranch_A_C,73,0,0,0,0,0,0
/Game/Genesis/Environment/Lunar/Rocks/GlowRocks/BP_LunarRock_E.BP_LunarRock_E_C,73,0,0,0,0,0,0
/Game/Genesis/CoreBlueprints/Buffs/Buff_Hazard_BubbleBox.Buff_Hazard_BubbleBox_C,71,0,0,0,0,0,0
/DinoDefense/2DPlatformer/Environment/Fracture_Meshes/BP_Steamboat_Willie_Pillar_3.BP_Steamboat_Willie_Pillar_3_C,70,0,0,0,0,0,0
