object_path,asset_name,asset_class_path,evidence_freshness,stage,status,ambiguous_count,not_recovered_count,source_not_available_count,stale_count,failure_reason,gap_count
/Game/Packs/TidesOfFortune/Dinos/Axolotl/Axolotl_Large/Buff_HealAura_Axolotl.Buff_HealAura_Axolotl,Buff_HealAura_Axolotl,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,5,0,,5
/Game/ASA/Dinos/ShoulderDragon/Chest/PrimalItem_TreasureMap_ShoulderDragon.PrimalItem_TreasureMap_ShoulderDragon,PrimalItem_TreasureMap_ShoulderDragon,/Script/Engine.Blueprint,STALE,blueprint_evidence,STALE,0,0,3,1,PACKAGE_SHA256_MISMATCH,4
/Game/ASA/Dinos/Gigantoraptor/Buffs/Buff_GigantoraptorBonded.Buff_GigantoraptorBonded,Buff_GigantoraptorBonded,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/ASA/Dinos/Gigantoraptor/Buffs/Buff_GigantoraptorPride.Buff_GigantoraptorPride,Buff_GigantoraptorPride,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/ASA/Dinos/YiLing/Feathers/Buff_YiLingSlime.Buff_YiLingSlime,Buff_YiLingSlime,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/Genesis/CoreBlueprints/GenesisBossArenaManager.GenesisBossArenaManager,GenesisBossArenaManager,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/Packs/Frontier/Structures/TreasureCache/SupplyCrate/SupplyCrate_BuriedTreasureBase.SupplyCrate_BuriedTreasureBase,SupplyCrate_BuriedTreasureBase,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/Packs/TidesOfFortune/Dinos/Axolotl/Axolotl_Large/Buff_HealAura_Axolotl_Passive.Buff_HealAura_Axolotl_Passive,Buff_HealAura_Axolotl_Passive,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/Packs/TidesOfFortune/Dinos/Parrot/CoreBlueprints/Buffs/Buff_ParrotTaming.Buff_ParrotTaming,Buff_ParrotTaming,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/Packs/TidesOfFortune/Dinos/Parrot/PrimalItem_BondingFeather,/Game/Packs/TidesOfFortune/Dinos/Parrot/PrimalItem_BondingFeather,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,1,3,0,,4
/Game/PrimalEarth/CoreBlueprints/GeneTraits/TraitBPs/Athletic/Trait_Athletic.Trait_Athletic,Trait_Athletic,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/PrimalEarth/CoreBlueprints/GeneTraits/TraitBPs/Excitable/Trait_Excitable.Trait_Excitable,Trait_Excitable,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/PrimalEarth/CoreBlueprints/GeneTraits/TraitBPs/Fatty/Trait_Fatty.Trait_Fatty,Trait_Fatty,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/PrimalEarth/CoreBlueprints/GeneTraits/TraitBPs/Protective/Trait_Protective.Trait_Protective,Trait_Protective,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/PrimalEarth/CoreBlueprints/GeneTraits/TraitBPs/SlowMetabolism/Trait_SlowMetabolism.Trait_SlowMetabolism,Trait_SlowMetabolism,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,4,0,,4
/Game/PrimalEarth/CoreBlueprints/PlayerCharacterStatusComponent_BP.PlayerCharacterStatusComponent_BP,PlayerCharacterStatusComponent_BP,/Script/Engine.Blueprint,STALE,blueprint_evidence,STALE,0,0,2,1,PACKAGE_SHA256_MISMATCH,3
/Game/ASA/Dinos/Archelon/Dinos/DinoTamedInventoryComponent_Archelon_ASA.DinoTamedInventoryComponent_Archelon_ASA,DinoTamedInventoryComponent_Archelon_ASA,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,3,0,,3
/Game/Extinction/CoreBlueprints/Projectiles/ProjTekGravityGrenade.ProjTekGravityGrenade,ProjTekGravityGrenade,/Script/Engine.Blueprint,FRESH,blueprint_evidence,FRESH,0,0,3,0,,3
