blueprint_asset_path,blueprint_function_name,status,resolution_method,confidence,candidate_count,native_target_count,native_evidence_ids
/Game/ASA/Dinos/Archelon/Dinos/Archelon_Character_BP_ASA.Archelon_Character_BP_ASA,IsChildOfClassesSoftRef,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,3,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1157CD0
/Game/Genesis/Weapons/TekGrenadeLauncher/WeapTekGrenadeLauncher.WeapTekGrenadeLauncher,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,3,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/Packs/TidesOfFortune/Dinos/Axolotl/Axolotl_Character_BP.Axolotl_Character_BP,IsChildOfClassesSoftRef,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,3,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1157CD0
/Game/Packs/TidesOfFortune/Dinos/Axolotl/Axolotl_Small/Axolotl_Small_Character_BP.Axolotl_Small_Character_BP,ProgressMilestone,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,3,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0xF18EE0
/Game/ASA/Dinos/Gigantoraptor/Buffs/Buff_GigantoraptorCallPlayer.Buff_GigantoraptorCallPlayer,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/Gigantoraptor/Nest/Buff_HiddenInNest.Buff_HiddenInNest,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/ShoulderDragon/ShoulderDragon_Character_BP.ShoulderDragon_Character_BP,AddNewItem,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1414E60
/Game/ASA/Dinos/ShoulderDragon/ShoulderDragon_Character_BP.ShoulderDragon_Character_BP,IsChildOfClassesSoftRef,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1157CD0
/Game/Genesis/Dinos/Shapeshifter/Shapeshifter_Large/Shapeshifter_Large_Character_BP.Shapeshifter_Large_Character_BP,AddItemObjectEx,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1390DB0
/Game/Genesis/Dinos/Shapeshifter/Shapeshifter_Small/Shapeshifter_Small_Character_BP.Shapeshifter_Small_Character_BP,AddItemObjectEx,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1390DB0
/Game/Genesis/Missions/VRBattle/MissionType_VRBattle_Base.MissionType_VRBattle_Base,Reset,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0xBDB7B0
/Game/Genesis2/Dinos/LionfishLion/LionfishLion_Character_BP.LionfishLion_Character_BP,InitializeInventory,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x13BFF00
/Game/PrimalEarth/Dinos/Dolphin/Dolphin_Character_BP.Dolphin_Character_BP,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,2,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/Archelon/Dinos/Archelon_Character_BP_ASA.Archelon_Character_BP_ASA,AddNewItem,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1414E60
/Game/ASA/Dinos/Archelon/Dinos/Archelon_Character_BP_ASA.Archelon_Character_BP_ASA,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/Archelon/Dinos/Buffs/Buff_Archelon_BabyDryLand_ASA.Buff_Archelon_BabyDryLand_ASA,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/Archelon/Dinos/DinoTamedInventoryComponent_Archelon_ASA.DinoTamedInventoryComponent_Archelon_ASA,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/Gigantoraptor/Gigantoraptor_Character_BP.Gigantoraptor_Character_BP,AddNewItem,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1414E60
/Game/ASA/Dinos/Gigantoraptor/Gigantoraptor_Character_BP.Gigantoraptor_Character_BP,CreateItemFromNetInfo,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x1425540
/Game/ASA/Dinos/ShoulderDragon/Buff_ShoulderDragonXPTaming.Buff_ShoulderDragonXPTaming,IsTimeSince,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x115F170
/Game/ASA/Dinos/YiLing/Feathers/Buff_YiLingFeathered.Buff_YiLingFeathered,CumulativeAdjustFloatValueFromCharacterTraits,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0x147CBE0
/Game/Dragontopia/Dragons/Base/Draco_Character_BP.Draco_Character_BP,ProgressMilestone,NAME_ONLY_CANDIDATE,exact_simple_name_candidate,LOW,1,1,native://b0e67e1e7625dd89a30b5a1df7652a44b9b142b045f820c419b8b51bbe3d7d2a/ShooterGameEditor-ShooterGame.dll/0xF18EE0
